Category,Head position
Animals,"['up, layer: 8, head: 3']"
Plants,"['up, layer: 2, head: 3']"
Fruits and Vegetables,"['up, layer: 7, head: 5']"
People,"['down, layer: 2, head: 4']"
Vehicles,"['up, layer: 3, head: 5']"
Buildings,"['down, layer: 3, head: 2']"
Furniture,"['down, layer: 2, head: 6']"
Electronics,"['up, layer: 6, head: 3']"
Clothing,"['down, layer: 4, head: 4']"
Accessories,"['down, layer: 4, head: 4']"
Tools,"['up, layer: 0, head: 1']"
Toys,"['down, layer: 5, head: 2']"
Food and Beverages,"['up, layer: 3, head: 4']"
Books and Documents,"['down, layer: 0, head: 5']"
Sports Equipment,"['down, layer: 5, head: 5']"
Musical Instruments,"['down, layer: 5, head: 6']"
Written Characters,"['down, layer: 0, head: 6']"
Color,"['up, layer: 8, head: 0']"
Shape,"['mid, layer: 0, head: 5']"
Texture,"['mid, layer: 0, head: 6']"
Size,"['mid, layer: 0, head: 2']"
Counting,"['up, layer: 3, head: 0']"
Image Style,"['mid, layer: 0, head: 3']"
Material,"['up, layer: 2, head: 0']"
Lighting Conditions,"['down, layer: 2, head: 1']"
Facial Expressions,"['down, layer: 4, head: 0']"
Facial Features,"['down, layer: 2, head: 4']"
Poses and Gestures,"['mid, layer: 0, head: 2']"
Nature Scenes,"['down, layer: 5, head: 0']"
Weather Conditions,"['up, layer: 0, head: 6']"
Time of Day,"['mid, layer: 0, head: 2']"
Geo-locations,"['up, layer: 2, head: 1']"
Brand Logos,"['down, layer: 4, head: 2']"
Geometric Patterns,"['down, layer: 0, head: 1']"
