Category,Head position
Animals,"['down, layer: 12, head: 15' 'down, layer: 13, head: 5' 'down, layer: 13, head: 4' 'down, layer: 13, head: 3' 'down, layer: 13, head: 2' 'down, layer: 13, head: 1' 'down, layer: 12, head: 19' 'down, layer: 12, head: 18' 'down, layer: 12, head: 17' 'down, layer: 13, head: 6' 'down, layer: 12, head: 14']"
Plants,"['down, layer: 9, head: 10' 'down, layer: 9, head: 13' 'down, layer: 9, head: 15' 'up, layer: 31, head: 8' 'down, layer: 3, head: 2' 'down, layer: 3, head: 3' 'down, layer: 3, head: 5' 'down, layer: 3, head: 6' 'down, layer: 3, head: 7' 'up, layer: 34, head: 2' 'up, layer: 33, head: 9']"
Fruits and Vegetables,"['mid, layer: 4, head: 4' 'down, layer: 12, head: 2' 'mid, layer: 3, head: 7' 'mid, layer: 2, head: 16' 'mid, layer: 2, head: 12' 'up, layer: 8, head: 6' 'down, layer: 11, head: 10' 'down, layer: 11, head: 5' 'down, layer: 11, head: 2' 'down, layer: 11, head: 1' 'down, layer: 10, head: 16']"
People,"['down, layer: 9, head: 4' 'down, layer: 11, head: 3' 'down, layer: 11, head: 2' 'down, layer: 10, head: 17' 'down, layer: 10, head: 14' 'mid, layer: 5, head: 15' 'mid, layer: 5, head: 18' 'mid, layer: 6, head: 0' 'down, layer: 10, head: 7' 'down, layer: 10, head: 4' 'down, layer: 9, head: 19']"
Vehicles,"['up, layer: 18, head: 9' 'down, layer: 6, head: 7' 'down, layer: 6, head: 5' 'down, layer: 5, head: 7' 'up, layer: 28, head: 10' 'down, layer: 3, head: 8' 'down, layer: 13, head: 14' 'down, layer: 13, head: 13' 'down, layer: 13, head: 10' 'down, layer: 13, head: 8' 'down, layer: 13, head: 5']"
Buildings,"['mid, layer: 4, head: 13' 'mid, layer: 8, head: 1' 'mid, layer: 8, head: 9' 'mid, layer: 8, head: 10' 'mid, layer: 8, head: 12' 'mid, layer: 8, head: 13' 'mid, layer: 8, head: 17' 'mid, layer: 8, head: 19' 'up, layer: 8, head: 14' 'mid, layer: 4, head: 9' 'mid, layer: 4, head: 11']"
Furniture,"['mid, layer: 4, head: 11' 'mid, layer: 5, head: 17' 'down, layer: 13, head: 4' 'up, layer: 19, head: 19' 'mid, layer: 4, head: 1' 'mid, layer: 4, head: 3' 'mid, layer: 4, head: 4' 'mid, layer: 4, head: 5' 'up, layer: 19, head: 16' 'up, layer: 20, head: 2' 'up, layer: 19, head: 13']"
Electronics,"['mid, layer: 9, head: 4' 'down, layer: 13, head: 5' 'down, layer: 12, head: 17' 'down, layer: 12, head: 16' 'mid, layer: 4, head: 4' 'mid, layer: 6, head: 9' 'down, layer: 12, head: 12' 'down, layer: 12, head: 10' 'down, layer: 12, head: 4' 'down, layer: 11, head: 17' 'down, layer: 11, head: 15']"
Clothing,"['mid, layer: 5, head: 3' 'mid, layer: 5, head: 4' 'up, layer: 33, head: 0' 'up, layer: 32, head: 9' 'up, layer: 32, head: 8' 'up, layer: 32, head: 0' 'up, layer: 32, head: 5' 'up, layer: 29, head: 14' 'up, layer: 29, head: 19' 'up, layer: 33, head: 9' 'up, layer: 30, head: 7']"
Accessories,"['down, layer: 23, head: 3' 'up, layer: 30, head: 1' 'down, layer: 6, head: 4' 'down, layer: 6, head: 7' 'down, layer: 7, head: 1' 'up, layer: 9, head: 4' 'up, layer: 9, head: 7' 'up, layer: 9, head: 10' 'mid, layer: 0, head: 16' 'up, layer: 32, head: 9' 'up, layer: 32, head: 5']"
Tools,"['down, layer: 7, head: 3' 'mid, layer: 8, head: 1' 'mid, layer: 2, head: 19' 'down, layer: 23, head: 11' 'down, layer: 23, head: 0' 'mid, layer: 9, head: 9' 'mid, layer: 9, head: 6' 'mid, layer: 4, head: 6' 'mid, layer: 9, head: 11' 'down, layer: 23, head: 12' 'down, layer: 23, head: 14']"
Toys,"['up, layer: 29, head: 13' 'mid, layer: 3, head: 8' 'down, layer: 5, head: 14' 'up, layer: 28, head: 7' 'mid, layer: 5, head: 18' 'mid, layer: 5, head: 17' 'up, layer: 9, head: 19' 'up, layer: 9, head: 18' 'down, layer: 23, head: 14' 'mid, layer: 0, head: 13' 'down, layer: 23, head: 9']"
Food and Beverages,"['up, layer: 19, head: 19' 'mid, layer: 8, head: 16' 'mid, layer: 8, head: 19' 'mid, layer: 9, head: 1' 'mid, layer: 9, head: 2' 'mid, layer: 9, head: 4' 'mid, layer: 9, head: 6' 'mid, layer: 9, head: 8' 'mid, layer: 9, head: 9' 'up, layer: 19, head: 14' 'down, layer: 18, head: 16']"
Books and Documents,"['mid, layer: 6, head: 17' 'mid, layer: 4, head: 16' 'mid, layer: 5, head: 14' 'mid, layer: 5, head: 5' 'mid, layer: 5, head: 3' 'mid, layer: 7, head: 15' 'mid, layer: 7, head: 10' 'mid, layer: 9, head: 1' 'up, layer: 9, head: 9' 'mid, layer: 7, head: 13' 'up, layer: 26, head: 10']"
