Category,Head position
Animals,"['mid, layer: 0, head: 4']"
Plants,"['down, layer: 0, head: 7']"
Fruits and Vegetables,"['up, layer: 6, head: 3']"
People,"['down, layer: 5, head: 4']"
Vehicles,"['down, layer: 4, head: 1']"
Buildings,"['up, layer: 8, head: 0']"
Furniture,"['down, layer: 0, head: 7']"
Electronics,"['up, layer: 8, head: 0']"
Clothing,"['mid, layer: 0, head: 5']"
Accessories,"['down, layer: 0, head: 5']"
Tools,"['down, layer: 1, head: 3']"
Toys,"['up, layer: 8, head: 0']"
Food and Beverages,"['up, layer: 6, head: 3']"
Books and Documents,"['down, layer: 3, head: 1']"
Sports Equipment,"['up, layer: 8, head: 0']"
Musical Instruments,"['up, layer: 3, head: 2']"
Written Characters,"['down, layer: 1, head: 0']"
Color,"['mid, layer: 0, head: 4']"
Shape,"['down, layer: 1, head: 0']"
Texture,"['down, layer: 1, head: 0']"
Size,"['down, layer: 1, head: 0']"
Counting,"['up, layer: 8, head: 0']"
Image Style,"['down, layer: 1, head: 5']"
Material,"['down, layer: 4, head: 2']"
Lighting Conditions,"['up, layer: 4, head: 2']"
Facial Expressions,"['up, layer: 6, head: 3']"
Facial Features,"['up, layer: 6, head: 5']"
Poses and Gestures,"['up, layer: 6, head: 5']"
Nature Scenes,"['down, layer: 3, head: 1']"
Weather Conditions,"['up, layer: 7, head: 7']"
Time of Day,"['down, layer: 2, head: 5']"
Geo-locations,"['down, layer: 3, head: 3']"
Brand Logos,"['up, layer: 6, head: 3']"
Geometric Patterns,"['down, layer: 1, head: 0']"
