[Name],[Layer],[Head],[Timestamp],Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20,Top 21,Top 22,Top 23,Top 24,Top 25,Top 26,Top 27,Top 28,Top 29,Top 30,Top 31,Top 32,Top 33,Top 34
up_cross,0,2,30,Brand Logos,Electronics,Sports Equipment,People,Facial Expressions,Vehicles,Animals,Food and Beverages,Facial Features,Fruits and Vegetables,Books and Documents,Nature Scenes,Musical Instruments,Accessories,Plants,Furniture,Toys,Poses and Gestures,Clothing,Buildings,Geometric Patterns,Tools,Lighting Conditions,Weather Conditions,Shape,Color,Time of Day,Geo-locations,Written Characters,Image Style,Material,Counting,Size,Texture
up_cross,0,2,31,Brand Logos,Electronics,Sports Equipment,People,Vehicles,Facial Expressions,Food and Beverages,Animals,Fruits and Vegetables,Facial Features,Accessories,Plants,Books and Documents,Furniture,Musical Instruments,Nature Scenes,Toys,Poses and Gestures,Clothing,Geometric Patterns,Buildings,Tools,Weather Conditions,Material,Lighting Conditions,Shape,Color,Geo-locations,Time of Day,Size,Written Characters,Counting,Image Style,Texture
up_cross,0,2,32,Brand Logos,Electronics,People,Sports Equipment,Vehicles,Facial Expressions,Food and Beverages,Animals,Facial Features,Fruits and Vegetables,Books and Documents,Accessories,Nature Scenes,Furniture,Musical Instruments,Poses and Gestures,Plants,Toys,Geometric Patterns,Buildings,Clothing,Tools,Geo-locations,Color,Weather Conditions,Lighting Conditions,Shape,Written Characters,Texture,Size,Time of Day,Image Style,Material,Counting
up_cross,0,2,33,Brand Logos,Electronics,People,Sports Equipment,Facial Expressions,Animals,Vehicles,Food and Beverages,Facial Features,Fruits and Vegetables,Books and Documents,Accessories,Nature Scenes,Musical Instruments,Plants,Furniture,Buildings,Geometric Patterns,Poses and Gestures,Toys,Clothing,Tools,Weather Conditions,Lighting Conditions,Color,Time of Day,Geo-locations,Material,Written Characters,Texture,Image Style,Shape,Size,Counting
up_cross,0,2,34,Brand Logos,Electronics,People,Facial Expressions,Sports Equipment,Vehicles,Animals,Food and Beverages,Fruits and Vegetables,Facial Features,Books and Documents,Musical Instruments,Accessories,Nature Scenes,Furniture,Plants,Toys,Poses and Gestures,Geometric Patterns,Clothing,Buildings,Tools,Geo-locations,Written Characters,Weather Conditions,Lighting Conditions,Color,Material,Shape,Time of Day,Texture,Size,Counting,Image Style
up_cross,0,2,35,Brand Logos,Electronics,Sports Equipment,People,Facial Expressions,Vehicles,Food and Beverages,Animals,Facial Features,Fruits and Vegetables,Accessories,Furniture,Books and Documents,Nature Scenes,Musical Instruments,Geometric Patterns,Plants,Toys,Poses and Gestures,Buildings,Clothing,Tools,Weather Conditions,Lighting Conditions,Geo-locations,Time of Day,Color,Written Characters,Material,Shape,Size,Texture,Image Style,Counting
up_cross,0,2,36,Brand Logos,Electronics,People,Sports Equipment,Vehicles,Facial Expressions,Animals,Facial Features,Food and Beverages,Fruits and Vegetables,Books and Documents,Accessories,Nature Scenes,Furniture,Plants,Toys,Musical Instruments,Geometric Patterns,Poses and Gestures,Buildings,Clothing,Tools,Geo-locations,Written Characters,Weather Conditions,Material,Color,Time of Day,Shape,Lighting Conditions,Texture,Size,Counting,Image Style
up_cross,0,2,37,Brand Logos,Electronics,People,Sports Equipment,Vehicles,Food and Beverages,Facial Expressions,Fruits and Vegetables,Animals,Facial Features,Accessories,Books and Documents,Nature Scenes,Toys,Furniture,Plants,Musical Instruments,Clothing,Geometric Patterns,Poses and Gestures,Buildings,Tools,Weather Conditions,Shape,Color,Material,Lighting Conditions,Geo-locations,Texture,Written Characters,Time of Day,Size,Image Style,Counting
up_cross,0,2,38,Brand Logos,Electronics,People,Sports Equipment,Vehicles,Animals,Facial Expressions,Food and Beverages,Fruits and Vegetables,Books and Documents,Facial Features,Accessories,Nature Scenes,Toys,Musical Instruments,Plants,Furniture,Clothing,Geometric Patterns,Buildings,Poses and Gestures,Tools,Weather Conditions,Geo-locations,Texture,Shape,Lighting Conditions,Color,Time of Day,Size,Counting,Image Style,Material,Written Characters
up_cross,0,2,39,Brand Logos,Electronics,People,Sports Equipment,Vehicles,Food and Beverages,Facial Expressions,Facial Features,Animals,Fruits and Vegetables,Books and Documents,Accessories,Musical Instruments,Furniture,Nature Scenes,Toys,Clothing,Plants,Geometric Patterns,Poses and Gestures,Buildings,Tools,Geo-locations,Color,Shape,Weather Conditions,Texture,Lighting Conditions,Written Characters,Material,Time of Day,Size,Image Style,Counting
up_cross,0,2,40,Brand Logos,Electronics,People,Vehicles,Sports Equipment,Food and Beverages,Facial Expressions,Animals,Fruits and Vegetables,Facial Features,Books and Documents,Accessories,Toys,Plants,Musical Instruments,Furniture,Nature Scenes,Clothing,Tools,Buildings,Geometric Patterns,Poses and Gestures,Weather Conditions,Color,Lighting Conditions,Geo-locations,Material,Texture,Time of Day,Written Characters,Counting,Image Style,Size,Shape
up_cross,0,2,41,Brand Logos,Electronics,People,Vehicles,Sports Equipment,Food and Beverages,Animals,Facial Features,Facial Expressions,Fruits and Vegetables,Books and Documents,Accessories,Musical Instruments,Nature Scenes,Toys,Plants,Furniture,Geometric Patterns,Buildings,Poses and Gestures,Clothing,Tools,Weather Conditions,Geo-locations,Shape,Lighting Conditions,Time of Day,Color,Written Characters,Image Style,Material,Texture,Size,Counting
up_cross,0,2,42,Brand Logos,Electronics,People,Vehicles,Sports Equipment,Food and Beverages,Books and Documents,Animals,Fruits and Vegetables,Facial Features,Facial Expressions,Nature Scenes,Accessories,Furniture,Toys,Plants,Musical Instruments,Geometric Patterns,Poses and Gestures,Clothing,Buildings,Tools,Weather Conditions,Color,Time of Day,Geo-locations,Shape,Material,Lighting Conditions,Image Style,Texture,Size,Counting,Written Characters
up_cross,0,2,43,Brand Logos,Electronics,People,Sports Equipment,Vehicles,Food and Beverages,Animals,Facial Expressions,Books and Documents,Facial Features,Accessories,Fruits and Vegetables,Musical Instruments,Nature Scenes,Plants,Toys,Furniture,Geometric Patterns,Buildings,Poses and Gestures,Clothing,Tools,Weather Conditions,Color,Shape,Material,Lighting Conditions,Time of Day,Geo-locations,Texture,Size,Counting,Image Style,Written Characters
up_cross,0,2,44,Brand Logos,Electronics,People,Vehicles,Sports Equipment,Food and Beverages,Facial Expressions,Facial Features,Books and Documents,Animals,Accessories,Fruits and Vegetables,Musical Instruments,Nature Scenes,Geometric Patterns,Furniture,Plants,Toys,Poses and Gestures,Buildings,Weather Conditions,Clothing,Tools,Color,Shape,Geo-locations,Time of Day,Lighting Conditions,Texture,Written Characters,Material,Image Style,Counting,Size
up_cross,0,2,45,Brand Logos,Electronics,People,Vehicles,Books and Documents,Food and Beverages,Sports Equipment,Animals,Accessories,Facial Features,Fruits and Vegetables,Facial Expressions,Musical Instruments,Furniture,Geometric Patterns,Nature Scenes,Plants,Toys,Poses and Gestures,Buildings,Clothing,Tools,Color,Weather Conditions,Lighting Conditions,Shape,Geo-locations,Time of Day,Image Style,Written Characters,Material,Size,Counting,Texture
up_cross,0,2,46,Brand Logos,Electronics,People,Vehicles,Sports Equipment,Books and Documents,Animals,Fruits and Vegetables,Food and Beverages,Accessories,Facial Features,Facial Expressions,Nature Scenes,Furniture,Geometric Patterns,Musical Instruments,Toys,Poses and Gestures,Plants,Buildings,Tools,Clothing,Shape,Weather Conditions,Time of Day,Geo-locations,Color,Lighting Conditions,Written Characters,Texture,Size,Counting,Image Style,Material
up_cross,0,2,47,Brand Logos,Electronics,People,Vehicles,Sports Equipment,Food and Beverages,Books and Documents,Accessories,Facial Features,Fruits and Vegetables,Facial Expressions,Animals,Geometric Patterns,Musical Instruments,Furniture,Toys,Nature Scenes,Plants,Buildings,Poses and Gestures,Clothing,Tools,Weather Conditions,Shape,Color,Time of Day,Geo-locations,Material,Lighting Conditions,Size,Written Characters,Texture,Counting,Image Style
up_cross,0,2,48,Brand Logos,Electronics,People,Vehicles,Accessories,Books and Documents,Food and Beverages,Sports Equipment,Fruits and Vegetables,Animals,Facial Features,Facial Expressions,Furniture,Musical Instruments,Plants,Nature Scenes,Geometric Patterns,Toys,Poses and Gestures,Buildings,Clothing,Tools,Color,Lighting Conditions,Time of Day,Weather Conditions,Shape,Material,Texture,Written Characters,Image Style,Counting,Geo-locations,Size
up_cross,0,2,49,Brand Logos,Electronics,People,Vehicles,Sports Equipment,Books and Documents,Food and Beverages,Accessories,Fruits and Vegetables,Animals,Facial Features,Facial Expressions,Furniture,Musical Instruments,Nature Scenes,Buildings,Plants,Poses and Gestures,Geometric Patterns,Toys,Tools,Clothing,Color,Weather Conditions,Material,Shape,Written Characters,Time of Day,Texture,Size,Counting,Image Style,Lighting Conditions,Geo-locations
up_cross,0,2,50,Brand Logos,Electronics,People,Vehicles,Accessories,Books and Documents,Sports Equipment,Fruits and Vegetables,Facial Features,Food and Beverages,Facial Expressions,Animals,Musical Instruments,Furniture,Poses and Gestures,Geometric Patterns,Plants,Buildings,Nature Scenes,Toys,Clothing,Color,Tools,Material,Shape,Geo-locations,Weather Conditions,Lighting Conditions,Image Style,Size,Written Characters,Time of Day,Counting,Texture
up_cross,0,3,0,Brand Logos,Electronics,Accessories,Food and Beverages,Image Style,Toys,Sports Equipment,Buildings,Tools,Clothing,Geo-locations,Nature Scenes,Books and Documents,Written Characters,Facial Features,Shape,Vehicles,Material,Musical Instruments,Geometric Patterns,People,Furniture,Poses and Gestures,Fruits and Vegetables,Weather Conditions,Texture,Lighting Conditions,Plants,Time of Day,Size,Facial Expressions,Counting,Color,Animals
up_cross,0,3,1,Brand Logos,Electronics,Accessories,Food and Beverages,Image Style,Toys,Geo-locations,Sports Equipment,Buildings,Clothing,Nature Scenes,Tools,Musical Instruments,Shape,Books and Documents,Fruits and Vegetables,Written Characters,Facial Features,Furniture,Material,People,Vehicles,Geometric Patterns,Poses and Gestures,Weather Conditions,Plants,Lighting Conditions,Texture,Color,Facial Expressions,Counting,Size,Time of Day,Animals
up_cross,0,3,2,Brand Logos,Electronics,Accessories,Food and Beverages,Image Style,Toys,Buildings,Sports Equipment,Clothing,Geo-locations,Nature Scenes,Tools,Musical Instruments,Books and Documents,Shape,Facial Features,Vehicles,Written Characters,Furniture,Material,People,Fruits and Vegetables,Geometric Patterns,Poses and Gestures,Weather Conditions,Animals,Lighting Conditions,Time of Day,Plants,Size,Color,Facial Expressions,Texture,Counting
up_cross,0,3,3,Brand Logos,Electronics,Accessories,Food and Beverages,Image Style,Toys,Buildings,Clothing,Geo-locations,Sports Equipment,Shape,Musical Instruments,Nature Scenes,Books and Documents,Tools,Vehicles,Fruits and Vegetables,Facial Features,Written Characters,People,Material,Geometric Patterns,Furniture,Poses and Gestures,Weather Conditions,Plants,Lighting Conditions,Texture,Time of Day,Color,Animals,Facial Expressions,Counting,Size
